# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
3.781501501501501E+007,8.634711162961072E-001,-8.847987048664699E-002,1.611754141932535E-002,-1.298639307957252E-001,1.580868086967656E-002,-1.295286484101244E-001,8.642093874461070E-001,-8.716607230444365E-002,8.633965030505424E-001,-8.855675770475227E-002,
3.831521521521521E+007,8.637296632784532E-001,-8.989991589402886E-002,1.364560781689474E-002,-1.301977755469825E-001,1.333742852941613E-002,-1.298363968313195E-001,8.641041922288295E-001,-8.840375622646571E-002,8.636507667002100E-001,-8.995912003999182E-002,
3.881541541541541E+007,8.634917242336221E-001,-9.101743582869988E-002,1.115031118873327E-002,-1.304104708878698E-001,1.088617143405721E-002,-1.300566376313619E-001,8.639639831060366E-001,-8.965237291287607E-002,8.634088449582733E-001,-9.107382817639873E-002,
3.931561561561561E+007,8.632725654612317E-001,-9.218731084235490E-002,8.682318259042745E-003,-1.306002544853818E-001,8.404173710184841E-003,-1.302180002296997E-001,8.639254419093119E-001,-9.093034384882676E-002,8.631851833067168E-001,-9.223732217032965E-002,
3.981581581581581E+007,8.630600293188315E-001,-9.352167495523381E-002,6.194058852585803E-003,-1.307392736393959E-001,5.906832713175896E-003,-1.303531428436511E-001,8.637917300480739E-001,-9.226495533904316E-002,8.629757900009403E-001,-9.355745578259826E-002,
4.031601601601601E+007,8.630385335119106E-001,-9.485557419523882E-002,3.693703910728003E-003,-1.308481475240635E-001,3.389930148692421E-003,-1.304776642374884E-001,8.637591719138960E-001,-9.359995110179749E-002,8.629517449806552E-001,-9.488520278259788E-002,
4.081621621621621E+007,8.629343092646221E-001,-9.621540608463527E-002,1.160276536872322E-003,-1.309028028176575E-001,8.618269973610865E-004,-1.305286745037264E-001,8.636744050992399E-001,-9.498245528826375E-002,8.628534659390394E-001,-9.623510315173284E-002,
4.131641641641641E+007,8.627567465778242E-001,-9.741288913958193E-002,-1.350964267880552E-003,-1.308786006476493E-001,-1.659220092144336E-003,-1.305024988786831E-001,8.635495849134171E-001,-9.627531697818721E-002,8.626693013595304E-001,-9.743348338630302E-002,
4.181661661661661E+007,8.626124733557816E-001,-9.875872963296511E-002,-3.865884757267736E-003,-1.308097516966184E-001,-4.159782164628544E-003,-1.304218929602010E-001,8.634241933878548E-001,-9.752982331906107E-002,8.625197647517431E-001,-9.877082523068746E-002,
4.231681681681681E+007,8.624835785016287E-001,-1.000223995170549E-001,-6.349955861382370E-003,-1.306956299211999E-001,-6.649227557757835E-003,-1.303064869863509E-001,8.633669004327460E-001,-9.877756746465773E-002,8.623850402006872E-001,-1.000201561925118E-001,
4.281701701701701E+007,8.623810480901727E-001,-1.012424273750790E-001,-8.833572114366412E-003,-1.305475877169363E-001,-9.133529531549276E-003,-1.301456375455437E-001,8.631926614441735E-001,-1.000713080640101E-001,8.622834291735478E-001,-1.012282521911129E-001,
4.331721721721721E+007,8.622098510975730E-001,-1.026341315393074E-001,-1.131026473698322E-002,-1.303544215080720E-001,-1.165808871551763E-002,-1.299379596231056E-001,8.629907531313295E-001,-1.013692879365705E-001,8.621130536769985E-001,-1.026016305386916E-001,
4.381741741741741E+007,8.621602133341011E-001,-1.037392181643568E-001,-1.380882814850496E-002,-1.301028843410950E-001,-1.412016975839840E-002,-1.297095414245038E-001,8.629001424529816E-001,-1.026309061816696E-001,8.620693337534919E-001,-1.037022803435222E-001,
4.431761761761762E+007,8.619014978678888E-001,-1.049999624046158E-001,-1.631418198330758E-002,-1.298021327654693E-001,-1.660057970719875E-002,-1.293983892623421E-001,8.627816761876743E-001,-1.039256167442322E-001,8.618130360491082E-001,-1.049559431968990E-001,
4.481781781781782E+007,8.618231399684984E-001,-1.063036753598199E-001,-1.879660507180262E-002,-1.294542177479097E-001,-1.909249663126875E-002,-1.290501321602682E-001,8.625988157902973E-001,-1.052308598653428E-001,8.617366990638964E-001,-1.062486749458685E-001,
4.531801801801802E+007,8.616916455286107E-001,-1.075382409445154E-001,-2.127635410921033E-002,-1.290539593484516E-001,-2.156111101035437E-002,-1.286479047020363E-001,8.624150084795685E-001,-1.065009239878865E-001,8.616088539181204E-001,-1.074740070771925E-001,
4.581821821821822E+007,8.615356409965490E-001,-1.087629946152259E-001,-2.373842032129584E-002,-1.286029303739542E-001,-2.402547895654478E-002,-1.281950587795942E-001,8.622422836538046E-001,-1.077503734981632E-001,8.614535127890909E-001,-1.086909996601847E-001,
4.631841841841842E+007,8.613664864584640E-001,-1.099673677634543E-001,-2.618959700367408E-002,-1.281027610265319E-001,-2.647061808053512E-002,-1.276960718302308E-001,8.620686794809847E-001,-1.089773806056593E-001,8.612856686258124E-001,-1.098818121761704E-001,
4.681861861861862E+007,8.612104358999124E-001,-1.111631240208690E-001,-2.862698940010413E-002,-1.275593091167794E-001,-2.890564229503212E-002,-1.271546736943773E-001,8.618806208712257E-001,-1.102132788250528E-001,8.611390706399653E-001,-1.110685939228671E-001,
4.731881881881882E+007,8.610466748629075E-001,-1.123704156830717E-001,-3.104493975674862E-002,-1.269749870660688E-001,-3.133021850861610E-002,-1.265674481541715E-001,8.616791630405267E-001,-1.114448496792493E-001,8.609819832699098E-001,-1.122698463611708E-001,
4.781901901901902E+007,8.609061475327193E-001,-1.135558255912720E-001,-3.346428790364543E-002,-1.263496198051667E-001,-3.373683484127593E-002,-1.259378204415510E-001,8.614629608759389E-001,-1.126688249463334E-001,8.608489207348459E-001,-1.134474285164077E-001,
4.831921921921922E+007,8.607581141646599E-001,-1.147443900880786E-001,-3.587008272110556E-002,-1.256746719143389E-001,-3.614262156070441E-002,-1.252711347139182E-001,8.612486375929823E-001,-1.138678790526066E-001,8.607156764899391E-001,-1.146258666270025E-001,
